Name,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS.Plus,W,L,ERA,ERA.Plus,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,PosSummary,Runoff,Special,VeteransCommittee,NegroLeagues,position,1B,RF,LF,CF,C,3B,2B,SS,DH,OF,AS.total,AS.percent,drugs,gold1,gold2,gold3,mvp1,mvp2,cy1,cy2,rookie,oneteam,Year,Votes,NumBallots
Jeff Conine,22,23,17,16.2,15.2,15.7,50.7,2024,6957,870,1982,214,1071,54,671,0.285,0.347,0.443,0.789,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3*79D5,0,0,0,0,1B,1,0,0,0,0,0,0,0,0,0,2,0.117647058823529,0,0,0,0,0,0,0,0,0,0,2013,0,569
Reggie Sanders,18,27,17,36.7,25.2,30.9,55.4,1777,6241,1037,1666,305,983,304,674,0.267,0.343,0.487,0.83,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*78/D,0,0,0,0,RF,0,1,0,0,0,0,0,0,0,0,1,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,2013,0,569
Royce Clayton,24,23,17,16.4,15.5,15.9,52.1,2108,7379,935,1904,110,723,231,565,0.258,0.312,0.367,0.679,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6/5D,0,0,0,0,SS,0,0,0,0,0,0,0,1,0,0,1,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,2013,0,569
Roberto Hernandez,93,7,17,17.2,16.7,16.9,32.3,1010,2,0,1,0,0,0,0,0.5,0.5,0.5,1,166,67,71,3.45,131,1.367,1010,3,326,1071.1,1002,96,462,945,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,3,0.176470588235294,0,0,0,0,0,0,0,0,0,0,2013,0,569
Ryan Klesko,24,26,16,24.6,20.4,22.5,51.5,1736,5611,874,1564,278,987,91,817,0.279,0.37,0.5,0.87,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*7*39/D,0,0,0,0,LF,0,0,1,0,0,0,0,0,0,0,1,0.0625,0,0,0,0,0,0,0,0,0,0,2013,0,569
Todd Walker,10,22,12,8.3,8.9,8.6,54.4,1288,4554,647,1316,107,545,66,421,0.289,0.348,0.435,0.783,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*453D/76,0,0,0,0,2B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,0,569
Rondell White,6,17,15,25.5,19.9,22.7,54.8,1474,5357,756,1519,198,768,94,360,0.284,0.336,0.462,0.799,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*7*8D,0,0,0,0,LF,0,0,1,0,0,0,0,0,0,0,1,0.0666666666666667,1,0,0,0,0,0,0,0,0,0,2013,0,569
Jose Mesa,113,1,19,9.6,12.1,10.8,32.3,1023,2,1,0,0,0,0,1,0,0.333,0,0.333,-3,80,109,4.36,100,1.472,1022,95,321,1548.2,1629,151,651,1038,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,2,0.105263157894737,0,0,0,0,0,0,0,0,0,0,2013,0,569
Woody Williams,17,14,15,28.1,20.2,24.2,57.9,443,540,52,105,4,43,1,17,0.194,0.222,0.267,0.489,29,132,116,4.19,103,1.321,424,330,0,2216.1,2217,309,711,1480,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,1,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,2013,0,569
Mike Stanton,66,7,19,13.3,14.3,13.8,32.3,1178,24,3,8,0,3,0,1,0.333,0.36,0.375,0.735,96,68,63,3.92,112,1.352,1178,1,84,1114,1086,93,420,895,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,1,0.0526315789473684,1,0,0,0,0,0,0,0,0,0,2013,0,569
Bernie Williams,134,48,16,45.9,35.7,40.8,54.8,2076,7869,1366,2336,287,1257,147,1069,0.297,0.381,0.477,0.858,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8D9/7,0,0,0,0,CF,0,0,0,1,0,0,0,0,0,0,5,0.3125,0,0,1,0,0,0,0,0,0,1,2012,55,573
Vinny Castilla,69,25,16,16.7,19.5,18.1,53.4,1854,6822,902,1884,320,1105,33,423,0.276,0.321,0.476,0.797,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*56/43,0,0,0,0,3B,0,0,0,0,0,1,0,0,0,0,2,0.125,0,0,0,0,0,0,0,0,0,0,2012,6,573
