Name,Year,GS,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS
Alfonso Soriano,2006,as LF,1,2,2,0,1,0,0,0,0,1,0,0,0,0.5,0.5,0.5,1
Alfonso Soriano,2005,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso Soriano,2004,as 2B,1,3,3,1,2,0,0,1,3,0,0,0,1,0.667,0.667,1.667,2.333
Alfonso Soriano,2003,as 2B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alfonso Soriano,2002,as 2B,1,2,2,1,1,0,0,1,1,0,0,0,1,0.5,0.5,2,2.5
Alfredo Griffin,1984,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Allen Craig,2013,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allie Reynolds,1954,,0,,,,,,,,,,,,,,,,
Allie Reynolds,1953,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Allie Reynolds,1952,,0,,,,,,,,,,,,,,,,
Allie Reynolds,1950,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allie Reynolds,1949,,0,,,,,,,,,,,,,,,,
Allie Reynolds,1945,,0,,,,,,,,,,,,,,,,
Alvin Davis,1984,,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Amos Otis,1976,,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Amos Otis,1973,as CF,1,2,2,0,2,0,0,0,1,1,0,0,0,1,1,1,2
Amos Otis,1972,,0,,,,,,,,,,,,,,,,
Amos Otis,1971,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amos Otis,1970,,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Dawson,1991,as RF,1,2,2,1,1,0,0,1,1,0,0,0,0,0.5,0.5,2,2.5
Andre Dawson,1990,as RF,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Andre Dawson,1989,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Dawson,1988,as CF,1,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1
Andre Dawson,1987,as CF,1,3,3,0,1,1,0,0,0,0,0,0,1,0.333,0.333,0.667,1
Andre Dawson,1983,as CF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Andre Dawson,1982,as CF,1,4,4,0,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5
Andre Dawson,1981,as CF,1,4,4,0,1,0,0,0,0,1,0,0,1,0.25,0.25,0.25,0.5
Andre Ethier,2011,,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,2
Andre Ethier,2010,as CF,1,2,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1
Andre Thornton,1984,,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2
Andre Thornton,1982,,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Andres Galarraga,2000,as 1B,1,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1
Andres Galarraga,1998,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andres Galarraga,1997,,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Andres Galarraga,1993,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andres Galarraga,1988,,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Andrew Bailey,2010,,1,,,,,,,,,,,,,,,,
Andrew Bailey,2009,,0,,,,,,,,,,,,,,,,
Andrew McCutchen,2013,,0,2,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0
Andrew McCutchen,2012,,1,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1
Andrew McCutchen,2011,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
